product_pid,transaction_date,apply_amt_pred,redeem_amt_pred,net_in_amt_pred
product1,20221110,2.697209,6.2752995,-3.0849721
product1,20221111,1.7022903,0.13266332,2.2455738
product1,20221114,4.4299574,3.7860532,0.80579627
product1,20221115,2.2453008,1.4792707,0.8732767
product1,20221116,2.1016903,1.6288098,0.5387637
product1,20221117,1.3752428,0.97750336,0.3913046
product1,20221118,0.45032018,1.246017,-1.1030886
product1,20221121,2.546869,2.7415316,-0.18554796
product1,20221122,0.71905625,2.4613307,-1.8791556
product1,20221123,0.9231492,2.1834867,-1.3287003
product100,20221110,1.0269763,2.7426918,-1.7933224
product100,20221111,1.3056042,1.4219077,-0.21122845
product100,20221114,7.727368,5.4788494,2.3524122
product100,20221115,0.5227485,0.820247,-0.349101
product100,20221116,0.5712233,3.7586565,-3.1919963
product100,20221117,0.94736814,1.8306684,-0.85622346
product100,20221118,1.3890046,0.5606222,1.040729
product100,20221121,4.0285997,4.4173417,-0.20538868
product100,20221122,0.099450536,0.52573365,-1.1115693
product100,20221123,0.7631251,0.64567673,0.042895097
product101,20221110,2.2374854,2.0409255,0.24033205
product101,20221111,2.0559978,0.8721076,1.1796826
product101,20221114,21.122278,4.6617956,15.98205
product101,20221115,10.281887,1.0772429,9.326447
product101,20221116,8.117788,1.3388579,6.9729195
product101,20221117,5.8172092,0.7591107,5.262521
product101,20221118,1.3226291,1.4775168,-0.026639532
product101,20221121,4.543058,9.8896,-4.3980618
product101,20221122,2.181782,1.6215116,0.80873936
product101,20221123,0.8450829,1.5500726,-0.7573893
product102,20221110,2.3840177,1.8498273,0.56768656
product102,20221111,0.37531975,0.6807475,-0.6365803
product102,20221114,17.086123,3.5000942,13.08321
product102,20221115,2.3917975,0.4408934,2.1591806
product102,20221116,2.6881294,0.9900178,1.6408718
product102,20221117,2.818999,0.6856125,2.138782
product102,20221118,0.7299375,0.42692327,0.2529117
product102,20221121,1.9560149,3.004187,-1.0162672
product102,20221122,0.5752019,0.89023024,-0.49152094
product102,20221123,0.16754465,0.43938637,-0.8132489
product103,20221110,0.7920317,1.1468542,-0.4622806
product103,20221111,0.151957,0.3887465,-0.78066814
product103,20221114,4.477641,1.9443498,2.4532743
product103,20221115,1.865913,0.48981923,1.4590793
product103,20221116,2.650678,0.36675125,2.3505707
product103,20221117,2.0515025,0.37560555,1.7505825
product103,20221118,0.4926849,0.43186817,-0.13710493
product103,20221121,0.8852852,0.99919534,-0.23157214
product103,20221122,0.8275395,0.57677245,0.21430285
product103,20221123,0.36200514,0.31240043,-0.17250155
product104,20221110,3.3778296,2.507159,0.93174005
product104,20221111,1.8396419,0.3486533,1.6848972
product104,20221114,15.733278,2.7196198,12.541067
product104,20221115,6.0398517,0.50294566,5.6583652
product104,20221116,7.058256,0.5989237,6.316515
product104,20221117,5.5633593,0.65628797,4.7158103
product104,20221118,1.7684118,0.41912928,1.3753892
product104,20221121,2.0363503,5.4615693,-3.0737762
product104,20221122,2.1303248,2.0898068,0.113798305
product104,20221123,0.66639847,4.980817,-4.2984076
product105,20221110,8.139155,6.3126793,1.9599837
product105,20221111,2.9808023,1.5921576,1.4503658
product105,20221114,20.078016,10.378383,9.947556
product105,20221115,6.2175035,0.9339714,5.496951
product105,20221116,3.2766974,4.6933913,-1.0402619
product105,20221117,2.1022599,3.1087742,-0.8444382
product105,20221118,1.8247167,0.5646956,1.4209945
product105,20221121,4.2377386,12.77218,-7.744226
product105,20221122,3.2809808,4.311955,-0.83820856
product105,20221123,1.8600218,2.172757,-0.25292617
product106,20221110,4.353054,2.0927403,2.1093354
product106,20221111,4.4190187,0.73147416,3.5878596
product106,20221114,19.857477,3.7970827,15.369471
product106,20221115,1.7155533,3.0473068,-1.0256896
product106,20221116,3.4550762,5.2111526,-1.3267574
product106,20221117,4.8781056,1.8726265,2.9333806
product106,20221118,1.7274597,1.2325729,0.48423022
product106,20221121,5.1155343,5.7665963,-0.38595867
product106,20221122,4.928392,2.836717,2.1539383
product106,20221123,7.0377827,2.7678657,4.120505
product107,20221110,1.6510562,0.70718557,0.9762777
product107,20221111,0.24999231,0.66718686,-0.93810964
product107,20221114,3.314513,0.75365937,2.4790702
product107,20221115,2.4608123,0.38576555,2.1187367
product107,20221116,4.7445908,0.66419405,3.88722
product107,20221117,4.636243,0.5258419,4.021225
product107,20221118,3.3571522,1.7030054,1.5785666
product107,20221121,11.600495,4.2040834,7.3580656
product107,20221122,10.083086,0.31908816,10.028062
product107,20221123,14.199808,0.03719436,15.046637
product108,20221110,3.615457,5.3042536,-1.3574748
product108,20221111,1.8632689,1.0791454,0.885271
product108,20221114,13.905179,5.797496,8.147776
product108,20221115,4.980566,4.0458555,1.2637417
product108,20221116,6.2781124,5.1963835,1.409385
product108,20221117,4.6208763,3.2267046,1.616631
product108,20221118,2.650762,2.2569056,0.65140784
product108,20221121,13.283196,14.647122,-0.33393127
product108,20221122,8.19318,0.5714674,7.885008
product108,20221123,11.5599985,3.3659568,8.191998
product109,20221110,3.237849,2.7848558,0.5033234
product109,20221111,1.6647505,0.64055806,1.0384886
product109,20221114,22.72298,3.797122,18.263245
product109,20221115,6.205001,0.6017968,5.9068785
product109,20221116,8.213205,0.48376006,7.8239565
product109,20221117,7.815728,0.42979366,7.382222
product109,20221118,1.4531642,0.8162987,0.7040797
product109,20221121,16.662874,9.1389265,7.873159
product109,20221122,4.5971055,1.031121,3.9920745
product109,20221123,8.653905,2.3403845,6.4631805
product110,20221110,0.37987727,0.7558713,-0.6364484
product110,20221111,0.06554278,0.29186118,-1.0270572
product110,20221114,0.89837646,1.1095811,-0.34988493
product110,20221115,0.24304181,0.27640343,-0.3025919
product110,20221116,0.52713156,0.21627109,0.33301848
product110,20221117,1.0487494,0.2641474,0.930599
product110,20221118,0.86319345,0.36567685,0.52669936
product110,20221121,2.4291592,0.5580579,1.9765759
product110,20221122,1.5205269,0.28834,1.4283717
product110,20221123,0.6593246,0.29074147,0.27083462
product111,20221110,0.57488585,0.3921005,0.16735034
product111,20221111,0.08859115,0.24878706,-0.7942792
product111,20221114,2.7519734,1.3950504,1.3354027
product111,20221115,0.3251219,0.30153894,-0.10397065
product111,20221116,1.6282525,0.41146696,1.3200828
product111,20221117,1.785501,0.51833546,1.3156538
product111,20221118,0.6649027,0.3347027,0.32573915
product111,20221121,1.0443197,0.8478228,0.17886667
product111,20221122,1.9250026,0.3663516,1.8120235
product111,20221123,1.6337609,0.64336973,0.9752915
product112,20221110,1.4155754,1.248093,0.1580591
product112,20221111,0.29085833,0.49978563,-0.58100766
product112,20221114,7.9937277,2.1607206,5.6113253
product112,20221115,3.1988695,0.5294256,2.705196
product112,20221116,3.719764,0.38689506,3.3322492
product112,20221117,2.5998435,0.29941463,2.4074764
product112,20221118,0.32007825,0.46688735,-0.5534451
product112,20221121,0.57192844,1.0821996,-0.7886845
product112,20221122,0.4508909,0.45780528,-0.20325525
product112,20221123,0.2563245,0.31966528,-0.45585054
product113,20221110,0.37661874,0.72247934,-0.6167035
product113,20221111,0.11270361,0.3171248,-0.80981416
product113,20221114,1.9203953,1.4176775,0.47629762
product113,20221115,0.71710706,0.2877689,0.4801534
product113,20221116,0.7988652,0.19941257,0.704715
product113,20221117,0.98247206,0.23463023,0.8514116
product113,20221118,0.43105155,0.35619137,-0.13415164
product113,20221121,0.43456468,0.44892964,-0.2114109
product113,20221122,0.6559278,0.27198657,0.41091138
product113,20221123,0.32934946,0.21007589,-0.10030198
product114,20221110,0.44638667,0.848992,-0.6499294
product114,20221111,0.15925413,0.3576253,-0.70848846
product114,20221114,2.2283428,1.4691182,0.7358862
product114,20221115,1.0823617,0.2696348,0.9684889
product114,20221116,1.0340866,0.19097824,1.0006994
product114,20221117,1.2978425,0.2534063,1.1484605
product114,20221118,0.43153542,0.38785416,-0.20072122
product114,20221121,0.41653144,0.5327068,-0.3756942
product114,20221122,0.47440416,0.31600404,0.051638085
product114,20221123,0.30581087,0.24345765,-0.22269888
product115,20221110,4.910461,1.8492141,2.9815779
product115,20221111,2.1866431,0.56840146,1.6474165
product115,20221114,14.565783,2.7043307,11.427164
product115,20221115,2.0766482,2.6835673,-0.38752538
product115,20221116,5.025666,1.4538338,3.5466857
product115,20221117,2.9319315,1.4890463,1.3889991
product115,20221118,1.551473,0.38541067,1.2683842
product115,20221121,3.267727,3.8038597,-0.42134285
product115,20221122,3.071294,2.0075147,1.0823802
product115,20221123,1.0747557,2.182368,-1.1884141
product116,20221110,0.6086772,1.1242613,-0.70009995
product116,20221111,0.30903384,0.5112113,-0.5297118
product116,20221114,6.7895136,2.652773,4.0437117
product116,20221115,1.384401,0.48276365,0.99388206
product116,20221116,1.7531035,0.38932252,1.4305879
product116,20221117,1.7102405,0.3337479,1.4853299
product116,20221118,0.5616244,0.4833141,-0.11291884
product116,20221121,1.2194575,1.1755643,-0.06508507
product116,20221122,0.9277996,0.39805108,0.5325537
product116,20221123,0.4218211,0.29565805,-0.107096314
product117,20221110,8.036668,1.9278369,5.423583
product117,20221111,3.7746975,0.649745,2.7512784
product117,20221114,34.111595,4.779596,27.586655
product117,20221115,1.2725801,1.9179058,-0.72990084
product117,20221116,6.2980204,2.4302447,3.83272
product117,20221117,5.275789,1.0132719,4.161504
product117,20221118,5.334098,1.8119498,3.4363346
product117,20221121,12.103846,5.9119143,6.383824
