product_pid,transaction_date,apply_amt_pred,redeem_amt_pred,net_in_amt_pred
product1,20221110,0.5343217,0.40166393,0.21143104
product1,20221111,0.4213597,0.21888253,0.33491644
product1,20221114,3.3147871,2.027909,1.3495955
product1,20221115,0.53477883,0.23781317,0.46732244
product1,20221116,0.47929627,0.30731097,0.2643885
product1,20221117,0.5791323,0.25804228,0.45684284
product1,20221118,0.45150813,0.47708347,-0.0009567328
product1,20221121,1.3894857,0.8345641,0.6378817
product1,20221122,0.47258127,0.4260095,0.121484414
product1,20221123,0.6457764,0.66376376,0.05948741
product100,20221110,1.0217732,0.56420064,0.5628107
product100,20221111,1.4310743,0.28409797,1.3412336
product100,20221114,5.853723,5.6286273,0.33758652
product100,20221115,1.2736622,1.8660687,-0.5377532
product100,20221116,1.1509385,0.59979224,0.5788225
product100,20221117,1.0791476,0.8136104,0.26690352
product100,20221118,0.34973556,0.87199914,-0.6349622
product100,20221121,6.893606,10.781718,-3.5745988
product100,20221122,1.0514627,0.04326263,1.5096841
product100,20221123,1.0831568,0.12317127,1.2922198
product101,20221110,0.41307226,0.31359878,0.17252877
product101,20221111,0.4251853,0.16456664,0.40981352
product101,20221114,3.2572298,1.4535682,1.7724274
product101,20221115,0.8148539,0.48239502,0.34510928
product101,20221116,1.891272,0.18592247,1.822063
product101,20221117,2.7523255,0.21094964,2.612842
product101,20221118,0.7983,0.57516533,0.19698851
product101,20221121,6.5775695,7.3720217,-0.68545735
product101,20221122,0.43137786,0.7104237,-0.3200215
product101,20221123,3.1279483,0.2698802,2.994422
product102,20221110,0.29779902,0.27354133,0.06168852
product102,20221111,0.3430174,0.11409038,0.40299517
product102,20221114,2.751349,0.72899544,2.0361977
product102,20221115,0.80551225,0.37051967,0.46964812
product102,20221116,0.97429127,0.2150312,0.8257964
product102,20221117,1.4012853,0.21004796,1.2547772
product102,20221118,0.572765,0.21137248,0.37315187
product102,20221121,5.702218,2.6048489,2.8643014
product102,20221122,1.4909312,1.2836305,0.12733534
product102,20221123,0.59320545,0.31106168,0.26153737
product103,20221110,0.35301802,0.3026003,0.10061433
product103,20221111,0.42646137,0.13412936,0.475333
product103,20221114,2.673637,0.5579922,2.162541
product103,20221115,0.901306,0.3526848,0.60740036
product103,20221116,1.1766633,0.26093757,0.97796214
product103,20221117,1.1046547,0.17686173,1.0288463
product103,20221118,0.57705873,0.20157121,0.41105375
product103,20221121,4.66962,1.3742623,3.0992453
product103,20221122,1.1030171,1.0484109,-0.0071211793
product103,20221123,0.34616897,0.4433477,-0.210355
product104,20221110,0.36288494,0.2620735,0.17638169
product104,20221111,0.29302445,0.104235545,0.35385835
product104,20221114,1.7183547,0.47823644,1.3104157
product104,20221115,0.76813304,0.260361,0.57093984
product104,20221116,1.3936574,0.27136517,1.162061
product104,20221117,2.1620243,0.35767475,1.7835455
product104,20221118,1.2127223,0.3515371,0.8697053
product104,20221121,6.681622,4.8129964,1.7260251
product104,20221122,5.46131,1.6750727,3.5858233
